,index,edad,nivel_educativo,empleo,genero,raza,rol,estado_civil,departamento,ContF,Nfriend
0,5,25,4,1,1,7,0.6324670573158457,2,3,0,4.0
1,19,19,2,1,2,7,0.5224624060925284,2,3,0,4.0
2,38,64,3,1,1,4,0.5599463248911498,1,3,0,4.0
3,50,53,2,1,2,7,0.6794530349290692,1,3,0,4.0
4,52,40,2,1,2,7,0.5847776784920655,1,3,0,4.0
5,58,63,2,2,2,4,0.4134324969123672,3,3,0,4.0
6,74,62,4,1,2,7,0.4030264288116038,1,3,0,4.0
7,84,38,4,1,1,7,0.4112798946033331,4,3,0,4.0
8,95,58,3,1,1,7,0.7823057462411128,4,3,0,5.0
9,103,10,3,1,2,7,0.7598892240792656,1,3,0,5.0
10,104,33,3,1,2,7,0.2278513833880621,2,3,0,3.0
11,105,70,2,1,2,7,0.5044523625037245,2,3,0,4.0
12,112,54,4,1,1,7,0.5668194713704806,1,3,0,4.0
13,118,10,2,1,2,6,0.6072235580057048,1,3,0,4.0
14,131,32,4,1,1,7,0.3784579931211503,2,3,0,4.0
15,134,24,2,1,1,7,0.6068036683596768,2,3,0,4.0
16,140,20,2,1,1,7,0.5696173024103713,1,3,0,4.0
17,148,55,3,1,1,7,0.5138717761527001,4,3,0,4.0
18,153,35,2,1,1,7,0.349242410728007,1,3,0,4.0
19,160,57,1,1,1,7,0.7343803552340671,2,3,0,4.0
20,168,67,3,1,2,7,0.5684792139102964,2,3,0,4.0
21,190,31,3,1,2,7,0.753776677945513,3,3,0,5.0
22,191,49,2,1,1,7,0.3402674112406265,4,3,0,4.0
23,192,65,4,1,2,7,0.2855027162116079,1,3,0,4.0
24,194,22,2,1,1,7,0.6484101793387936,1,3,0,4.0
25,196,50,2,1,2,5,0.6786309296939587,1,3,0,4.0
26,204,12,2,1,1,5,0.7298531868327459,1,3,0,4.0
27,212,65,4,1,1,7,0.6002976225638325,2,3,0,4.0
28,223,42,2,2,2,7,0.0771310577479104,4,3,0,3.0
29,227,16,3,1,1,7,0.5284236160633657,1,3,0,4.0
30,228,64,2,1,2,7,0.5894650890950566,2,3,0,4.0
31,233,54,2,1,2,7,0.5930741462103639,4,3,0,4.0
32,237,38,4,1,1,5,0.6157936251623198,1,3,0,4.0
33,238,46,4,1,2,5,0.3483192998180086,2,3,0,4.0
34,253,37,3,1,1,7,0.4349148309740879,1,3,0,4.0
35,254,47,2,1,1,7,0.2371936325462121,1,3,0,3.0
36,270,66,1,1,2,7,0.2150504986799375,1,3,0,3.0
37,280,32,2,1,2,7,0.6991841185409571,2,3,0,4.0
38,295,31,3,1,1,7,0.4261840176089704,3,3,0,4.0
